entry_time,exit_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_gross,cost,pnl_net,rr_actual,result,capital,trend_1d,rsi,rsi_ma
2025-06-25 17:00:00,2025-06-26 02:00:00,LONG,2410.54,2405.69,2483.29,2483.29,TP,571.96,19.24,552.73,14.5,WIN,3877.6,bullish,44.2,51.97
2025-06-26 15:00:00,2025-06-26 16:00:00,LONG,2446.49,2433.67,2638.79,2433.67,SL,-77.55,14.76,-92.31,-1.19,LOSS,3785.29,bullish,48.86,57.78
2025-06-26 19:00:00,2025-06-26 21:00:00,LONG,2425.25,2420.71,2493.35,2420.71,SL,-40.39,21.56,-61.95,-1.53,LOSS,3723.34,bullish,42.56,51.23
2025-06-27 16:00:00,2025-06-27 17:00:00,LONG,2438.26,2423.24,2663.56,2423.24,SL,-74.47,12.05,-86.52,-1.16,LOSS,3636.83,bullish,49.99,51.34
2025-06-27 20:00:00,2025-07-01 20:00:00,LONG,2412.67,2394.97,2678.17,2394.97,SL,-72.74,9.88,-82.61,-1.14,LOSS,3554.21,bullish,43.6,48.19
2025-07-02 00:00:00,2025-07-02 01:00:00,LONG,2405.01,2400.66,2470.26,2400.66,SL,-36.64,20.24,-56.88,-1.55,LOSS,3497.33,bullish,35.58,36.11
2025-07-03 05:00:00,2025-07-04 06:00:00,LONG,2566.68,2561.22,2648.58,2561.22,SL,-42.41,19.91,-62.32,-1.47,LOSS,3435.01,bullish,63.41,73.55
2025-07-04 09:00:00,2025-07-04 13:00:00,LONG,2547.0,2534.9,2728.5,2534.9,SL,-68.7,14.43,-83.13,-1.21,LOSS,3351.88,bullish,40.5,50.56
2025-07-04 18:00:00,2025-07-04 19:00:00,LONG,2496.56,2487.51,2632.31,2487.51,SL,-67.04,18.46,-85.5,-1.28,LOSS,3266.38,bullish,29.93,37.57
2025-07-04 21:00:00,2025-07-08 17:00:00,LONG,2490.29,2482.57,2606.09,2606.09,TP,865.77,19.05,846.71,14.67,WIN,4113.1,bullish,31.32,33.97
2025-07-09 05:00:00,2025-07-09 19:00:00,LONG,2603.05,2591.74,2772.7,2772.7,TP,1233.93,19.55,1214.38,14.76,WIN,5327.48,bullish,56.89,61.0
2025-07-10 11:00:00,2025-07-10 12:00:00,LONG,2784.93,2778.24,2885.28,2778.24,SL,-72.95,30.33,-103.28,-1.42,LOSS,5224.2,bullish,67.19,70.94
2025-07-10 20:00:00,2025-07-10 21:00:00,LONG,2816.21,2811.39,2888.51,2888.51,TP,764.48,30.16,734.32,14.41,WIN,5958.52,bullish,65.91,66.8
2025-07-11 09:00:00,2025-07-11 11:00:00,LONG,3003.32,2968.81,3520.97,2968.81,SL,-119.17,10.31,-129.48,-1.09,LOSS,5829.04,bullish,72.44,74.69
2025-07-11 17:00:00,2025-07-11 22:00:00,LONG,2967.54,2951.09,3214.29,2951.09,SL,-116.58,20.97,-137.55,-1.18,LOSS,5691.49,bullish,57.39,68.89
2025-07-12 00:00:00,2025-07-12 04:00:00,LONG,2958.21,2950.49,3074.01,2950.49,SL,-84.66,32.4,-117.06,-1.38,LOSS,5574.43,bullish,51.92,60.21
2025-07-12 17:00:00,2025-07-12 21:00:00,LONG,2924.49,2916.05,3051.09,2916.05,SL,-91.7,31.73,-123.43,-1.35,LOSS,5451.0,bullish,41.24,49.17
2025-07-14 00:00:00,2025-07-15 02:00:00,LONG,2972.03,2959.19,3164.63,2959.19,SL,-109.02,25.18,-134.2,-1.23,LOSS,5316.8,bullish,51.45,58.12
2025-07-15 05:00:00,2025-07-16 14:00:00,LONG,2968.32,2951.79,3216.27,3216.27,TP,1595.04,19.89,1575.15,14.81,WIN,6891.94,bullish,40.21,45.39
2025-07-17 03:00:00,2025-07-17 04:00:00,LONG,3348.56,3338.21,3503.81,3338.21,SL,-121.42,39.22,-160.65,-1.32,LOSS,6731.3,bullish,69.22,77.4
2025-07-17 15:00:00,2025-07-17 16:00:00,LONG,3426.51,3400.29,3819.81,3400.29,SL,-134.63,17.53,-152.15,-1.13,LOSS,6579.15,bullish,64.43,70.34
2025-07-17 18:00:00,2025-07-17 20:00:00,LONG,3424.04,3394.6,3865.64,3394.6,SL,-131.58,15.24,-146.82,-1.12,LOSS,6432.33,bullish,61.41,68.88
2025-07-18 10:00:00,2025-07-18 11:00:00,LONG,3620.92,3603.89,3876.37,3603.89,SL,-128.65,27.29,-155.94,-1.21,LOSS,6276.39,bullish,68.06,71.59
2025-07-18 13:00:00,2025-07-18 14:00:00,LONG,3637.54,3610.23,4047.19,3610.23,SL,-125.53,16.66,-142.18,-1.13,LOSS,6134.21,bullish,68.77,72.25
2025-07-18 17:00:00,2025-07-18 19:00:00,LONG,3573.2,3563.68,3716.0,3563.68,SL,-93.16,34.92,-128.07,-1.37,LOSS,6006.13,bullish,54.72,67.6
2025-07-18 22:00:00,2025-07-18 23:00:00,LONG,3553.9,3517.3,4102.9,3517.3,SL,-120.12,11.6,-131.73,-1.1,LOSS,5874.4,bullish,50.63,59.11
2025-07-19 02:00:00,2025-07-24 07:00:00,LONG,3545.0,3522.21,3886.85,3522.21,SL,-117.49,18.22,-135.7,-1.16,LOSS,5738.7,bullish,49.67,53.82
2025-07-25 02:00:00,2025-07-25 03:00:00,LONG,3683.28,3659.4,4041.48,3659.4,SL,-114.77,17.65,-132.42,-1.15,LOSS,5606.28,bullish,50.83,56.82
2025-07-25 05:00:00,2025-08-01 08:00:00,LONG,3648.59,3596.01,4437.29,3596.01,SL,-112.13,7.72,-119.85,-1.07,LOSS,5486.43,bullish,47.48,54.17
2025-08-01 10:00:00,2025-08-01 11:00:00,LONG,3618.32,3609.43,3751.67,3609.43,SL,-76.84,31.23,-108.07,-1.41,LOSS,5378.36,bullish,25.69,30.17
2025-08-02 00:00:00,2025-08-02 06:00:00,LONG,3488.21,3463.82,3854.06,3463.82,SL,-107.57,15.33,-122.9,-1.14,LOSS,5255.46,bullish,29.83,31.63
2025-08-02 17:00:00,2025-08-02 18:00:00,LONG,3471.91,3459.33,3660.61,3459.33,SL,-105.11,28.96,-134.07,-1.28,LOSS,5121.4,bullish,36.93,37.91
2025-08-04 07:00:00,2025-08-04 13:00:00,LONG,3538.94,3533.46,3621.14,3621.14,TP,678.05,29.53,648.52,14.35,WIN,5769.92,bullish,59.6,61.0
2025-08-05 06:00:00,2025-08-05 07:00:00,LONG,3664.4,3649.03,3894.95,3649.03,SL,-115.4,27.45,-142.85,-1.24,LOSS,5627.06,bullish,57.94,71.72
2025-08-05 09:00:00,2025-08-05 12:00:00,LONG,3634.81,3613.49,3954.61,3613.49,SL,-112.54,19.13,-131.67,-1.17,LOSS,5495.39,bullish,50.11,65.05
2025-08-05 14:00:00,2025-08-05 15:00:00,LONG,3646.85,3628.43,3923.15,3628.43,SL,-109.91,21.7,-131.61,-1.2,LOSS,5363.78,bullish,51.12,56.04
2025-08-05 17:00:00,2025-08-05 18:00:00,LONG,3577.67,3570.43,3686.27,3570.43,SL,-61.87,30.54,-92.41,-1.49,LOSS,5271.37,bullish,40.41,50.48
