trade_no,entry_time,exit_time,direction,entry_price,exit_price,outcome,holding_hours,pnl_raw,commission,funding_fee,interest_fee,total_cost,pnl_net,pnl_pct,result,capital,leverage
48,2022-12-08 20:00:00,2022-12-09 20:00:00,LONG,1283.9,1269.06,FLIP,24.0,-50.14,4.31,2.59,1.29,8.19,-58.33,-1.34,LOSS,4279.41,1
49,2022-12-09 20:00:00,2022-12-10 16:00:00,SHORT,1269.06,1278.26,FLIP,20.0,-31.02,4.29,-2.15,1.07,3.22,-34.24,-0.8,LOSS,4245.16,1
50,2022-12-10 16:00:00,2022-12-11 00:00:00,LONG,1278.26,1266.35,FLIP,8.0,-39.55,4.23,0.85,0.42,5.49,-45.05,-1.06,LOSS,4200.12,1
51,2022-12-11 00:00:00,2022-12-11 04:00:00,SHORT,1266.35,1272.67,FLIP,4.0,-20.96,4.21,-0.42,0.21,4.0,-24.96,-0.59,LOSS,4175.15,1
52,2022-12-11 04:00:00,2022-12-12 00:00:00,LONG,1272.67,1263.0,FLIP,20.0,-31.72,4.16,2.08,1.04,7.28,-39.0,-0.93,LOSS,4136.15,1
53,2022-12-12 00:00:00,2022-12-13 00:00:00,SHORT,1263.0,1275.41,FLIP,24.0,-40.64,4.16,-2.49,1.25,2.91,-43.55,-1.05,LOSS,4092.6,1
54,2022-12-13 00:00:00,2022-12-13 04:00:00,LONG,1275.41,1269.64,FLIP,4.0,-18.52,4.08,0.41,0.2,4.7,-23.21,-0.57,LOSS,4069.39,1
55,2022-12-13 04:00:00,2022-12-13 12:00:00,SHORT,1269.64,1286.92,FLIP,8.0,-55.39,4.1,-0.82,0.41,3.69,-59.07,-1.45,LOSS,4010.32,1
56,2022-12-13 12:00:00,2022-12-15 16:00:00,LONG,1286.92,1270.31,FLIP,52.0,-51.76,3.98,5.18,2.59,11.75,-63.51,-1.58,LOSS,3946.8,1
57,2022-12-15 16:00:00,2022-12-15 20:00:00,SHORT,1270.31,1275.03,FLIP,4.0,-14.66,3.95,-0.4,0.2,3.76,-18.42,-0.47,LOSS,3928.38,1
58,2022-12-15 20:00:00,2022-12-16 00:00:00,LONG,1275.03,1266.53,FLIP,4.0,-26.19,3.92,0.39,0.2,4.5,-30.69,-0.78,LOSS,3897.69,1
59,2022-12-16 00:00:00,2022-12-16 08:00:00,SHORT,1266.53,1277.77,FLIP,8.0,-34.59,3.91,-0.78,0.39,3.52,-38.11,-0.98,LOSS,3859.58,1
60,2022-12-16 08:00:00,2022-12-16 12:00:00,LONG,1277.77,1212.84,FLIP,4.0,-196.12,3.76,0.38,0.19,4.33,-200.45,-5.19,LOSS,3659.13,1
61,2022-12-16 12:00:00,2023-01-04 04:00:00,SHORT,1212.84,1250.73,FLIP,448.0,-114.31,3.72,-41.62,20.81,-17.09,-97.22,-2.66,LOSS,3561.91,1
62,2023-01-04 04:00:00,2023-02-10 00:00:00,LONG,1250.73,1545.35,FLIP,884.0,839.04,3.98,87.99,43.99,135.97,703.07,19.74,WIN,4264.98,1
63,2023-02-10 00:00:00,2023-02-10 08:00:00,SHORT,1545.35,1551.7,FLIP,8.0,-17.53,4.27,-0.85,0.43,3.85,-21.37,-0.5,LOSS,4243.61,1
64,2023-02-10 08:00:00,2023-02-10 12:00:00,LONG,1551.7,1537.04,FLIP,4.0,-40.09,4.22,0.42,0.21,4.86,-44.95,-1.06,LOSS,4198.66,1
65,2023-02-10 12:00:00,2023-02-14 16:00:00,SHORT,1537.04,1544.84,FLIP,100.0,-21.31,4.21,-10.52,5.26,-1.05,-20.25,-0.48,LOSS,4178.4,1
66,2023-02-14 16:00:00,2023-02-25 04:00:00,LONG,1544.84,1598.53,FLIP,252.0,145.22,4.25,26.78,13.39,44.42,100.79,2.41,WIN,4279.2,1
